rat,band,duplex,bw_mhz,scs_khz,ssb_scs_khz,dl_arfcn_or_earfcn,dl_freq_mhz,ssb_arfcn,ssb_gscn,ssb_freq_mhz,status,notes,cfg_snippet
LTE,5,FDD,1.4,15,15,2407,869.7,2407,,869.7,ok,,band: 5\ndl_earfcn: 2407\nn_rb_dl: 6
LTE,7,FDD,5,15,15,2775,2622.5,2775,,2622.5,ok,,band: 7\ndl_earfcn: 2775\nn_rb_dl: 25
LTE,8,FDD,1.4,15,15,3457,925.7,3457,,925.7,ok,,band: 8\ndl_earfcn: 3457\nn_rb_dl: 6
LTE,12,FDD,1.4,15,15,5017,729.7,5017,,729.7,ok,,band: 12\ndl_earfcn: 5017\nn_rb_dl: 6
LTE,13,FDD,5,15,15,5205,748.5,5205,,748.5,ok,,band: 13\ndl_earfcn: 5205\nn_rb_dl: 25
LTE,14,FDD,5,15,15,5305,760.5,5305,,760.5,ok,,band: 14\ndl_earfcn: 5305\nn_rb_dl: 25
LTE,17,FDD,5,15,15,5755,736.5,5755,,736.5,ok,,band: 17\ndl_earfcn: 5755\nn_rb_dl: 25
LTE,18,FDD,5,15,15,5875,862.5,5875,,862.5,ok,,band: 18\ndl_earfcn: 5875\nn_rb_dl: 25
LTE,19,FDD,5,15,15,6025,877.5,6025,,877.5,ok,,band: 19\ndl_earfcn: 6025\nn_rb_dl: 25
LTE,20,FDD,5,15,15,6175,793.5,6175,,793.5,ok,,band: 20\ndl_earfcn: 6175\nn_rb_dl: 25
LTE,25,FDD,1.4,15,15,8047,1930.7,8047,,1930.7,ok,,band: 25\ndl_earfcn: 8047\nn_rb_dl: 6
LTE,26,FDD,1.4,15,15,8697,859.7,8697,,859.7,ok,,band: 26\ndl_earfcn: 8697\nn_rb_dl: 6
LTE,28,FDD,3,15,15,9225,759.5,9225,,759.5,ok,,band: 28\ndl_earfcn: 9225\nn_rb_dl: 15
LTE,30,FDD,5,15,15,9795,2352.5,9795,,2352.5,ok,,band: 30\ndl_earfcn: 9795\nn_rb_dl: 25
LTE,34,TDD,5,15,15,36225,2012.5,36225,,2012.5,ok,,band: 34\ndl_earfcn: 36225\nn_rb_dl: 25\nuldl_config: 2\nsp_config: 7
LTE,38,TDD,5,15,15,37775,2572.5,37775,,2572.5,ok,,band: 38\ndl_earfcn: 37775\nn_rb_dl: 25\nuldl_config: 2\nsp_config: 7
LTE,39,TDD,5,15,15,38275,1882.5,38275,,1882.5,ok,,band: 39\ndl_earfcn: 38275\nn_rb_dl: 25\nuldl_config: 2\nsp_config: 7
LTE,40,TDD,5,15,15,38675,2302.5,38675,,2302.5,ok,,band: 40\ndl_earfcn: 38675\nn_rb_dl: 25\nuldl_config: 2\nsp_config: 7
